"Delivery Start Date","고객 이름","Order No","Order Create Date",상품명,SKU,"Order Money",수량,결제방법,세금,"Refund Date","Refund Money"
"2024. 5. 31. 오후 4:47:38","1_ 88마트 _R",000004212,"2024. 5. 31. 오후 4:42:48",เต้าหู้ปลาเยาวราชเซี่ยงไฮ้,1693960541,"₩133,000.00",1,"Bank Deposit - Tosspayments ","₩12,090.91",,₩0.00
"2024. 5. 31. 오후 4:47:38","1_ 88마트 _R",000004212,"2024. 5. 31. 오후 4:42:48","ลูกชิ้นปลากลมเล็ก (เยาวราช)",1670308036,"₩82,000.00",1,"Bank Deposit - Tosspayments ","₩7,454.55",,₩0.00
"2024. 5. 31. 오후 4:47:38","1_ 88마트 _R",000004212,"2024. 5. 31. 오후 4:42:48","รสดีหมูใหญ่ 400 กรัม",00000142,"₩66,000.00",1,"Bank Deposit - Tosspayments ","₩6,000.00",,₩0.00
"2024. 5. 31. 오후 4:47:38","1_ 88마트 _R",000004212,"2024. 5. 31. 오후 4:42:48",กะปิ200กรัม,00000014,"₩79,200.00",1,"Bank Deposit - Tosspayments ","₩7,200.00",,₩0.00
"2024. 5. 31. 오후 4:29:13","나나 _R",000004209,"2024. 5. 31. 오후 4:11:16","กุนเชียง อิสานฟู๊ด",1667810715,"₩78,000.00",1,"Bank Deposit - Tosspayments ","₩7,090.91",,₩0.00
"2024. 5. 31. 오후 4:29:13","나나 _R",000004209,"2024. 5. 31. 오후 4:11:16",น้ำมะพร้าวสีเขียว,00000712,"₩27,500.00",1,"Bank Deposit - Tosspayments ","₩2,500.00",,₩0.00
"2024. 5. 31. 오후 4:29:13","나나 _R",000004209,"2024. 5. 31. 오후 4:11:16",น้ำตาลสด,00001470,"₩25,200.00",1,"Bank Deposit - Tosspayments ","₩2,290.91",,₩0.00
"2024. 5. 31. 오후 4:10:34","태국식당 _R",000004207,"2024. 5. 31. 오후 4:05:45","ผัดไท โคราช",00002695,"₩28,800.00",12,"Bank Deposit - Tosspayments ","₩2,618.16",,₩0.00
"2024. 5. 31. 오후 4:10:34","태국식당 _R",000004207,"2024. 5. 31. 오후 4:05:45","ผัดหมี่ ตำหนักไทย รสจัดจ้าน",1702366355,"₩13,800.00",6,"Bank Deposit - Tosspayments ","₩1,254.54",,₩0.00
"2024. 5. 31. 오후 4:10:34","태국식당 _R",000004207,"2024. 5. 31. 오후 4:05:45",ซีอิ้วขาวเล็ก,00003061,"₩25,200.00",1,"Bank Deposit - Tosspayments ","₩2,290.91",,₩0.00
"2024. 5. 31. 오후 4:10:34","태국식당 _R",000004207,"2024. 5. 31. 오후 4:05:45","หมูยอ อิสานฟู๊ด",00002861,"₩45,000.00",10,"Bank Deposit - Tosspayments ","₩4,090.90",,₩0.00
"2024. 5. 31. 오후 4:10:34","태국식당 _R",000004207,"2024. 5. 31. 오후 4:05:45",เส้นหมี่ไวไว,00000557,"₩36,000.00",1,"Bank Deposit - Tosspayments ","₩3,272.73",,₩0.00
"2024. 5. 31. 오후 4:10:34","태국식당 _R",000004207,"2024. 5. 31. 오후 4:05:45","마마치킨 그린커리(MAMA CHICKEN GREEN)",00002371,"₩28,200.00",2,"Bank Deposit - Tosspayments ","₩2,563.64",,₩0.00
"2024. 5. 31. 오후 4:01:00","Filmmy _R",000004206,"2024. 5. 31. 오후 3:42:44","ข่า 500กรัม",1620008900,"₩7,000.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오후 4:01:00","Filmmy _R",000004206,"2024. 5. 31. 오후 3:42:44",กระชาย,00000636,"₩1,400.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오후 4:01:00","Filmmy _R",000004206,"2024. 5. 31. 오후 3:42:44",กระเพรา,00000658,"₩1,400.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오후 3:41:17","1_띵동마트 _R",000004201,"2024. 5. 31. 오후 2:55:35",น้ำตาลปิ๊ปสีแดง,1656637281,"₩1,800.00",1,"Bank Deposit - Tosspayments ",₩163.64,,₩0.00
"2024. 5. 31. 오후 3:41:17","1_띵동마트 _R",000004201,"2024. 5. 31. 오후 2:55:35",กระเทียมเจียว,00002666,"₩2,200.00",1,"Bank Deposit - Tosspayments ",₩200.00,,₩0.00
"2024. 5. 31. 오후 3:41:17","1_띵동마트 _R",000004201,"2024. 5. 31. 오후 2:55:35",เมล็ดทานตะวันแดงใหญ่,00002808,"₩2,700.00",1,"Bank Deposit - Tosspayments ",₩245.45,,₩0.00
"2024. 5. 31. 오후 3:41:17","1_띵동마트 _R",000004201,"2024. 5. 31. 오후 2:55:35",คนอก้อนรสหมู,00001573,"₩2,400.00",3,"Bank Deposit - Tosspayments ",₩218.19,,₩0.00
"2024. 5. 31. 오후 3:41:17","1_띵동마트 _R",000004201,"2024. 5. 31. 오후 2:55:35","พริกแห้ง 500 กรัม",1688076605,"₩9,500.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오후 3:41:17","1_띵동마트 _R",000004201,"2024. 5. 31. 오후 2:55:35","ลูกกลิ้งนีเวีย คูคลิก",00002479,"₩7,200.00",1,"Bank Deposit - Tosspayments ",₩654.55,,₩0.00
"2024. 5. 31. 오후 3:41:17","1_띵동마트 _R",000004201,"2024. 5. 31. 오후 2:55:35",สะตอแช่แข็ง,00000380,"₩4,500.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오후 2:32:17","NamNam _R",000004195,"2024. 5. 31. 오후 2:12:00",ยูโร่เค็ก,00001617,"₩16,800.00",6,"Bank Deposit - Tosspayments ","₩1,527.30",,₩0.00
"2024. 5. 31. 오후 2:32:15","1_띵동마트 _R",000004192,"2024. 5. 31. 오후 2:02:21",ปลาดุกใหญ่,00001727,"₩10,600.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오후 2:32:15","1_띵동마트 _R",000004192,"2024. 5. 31. 오후 2:02:21",ไก่อ่อน,00003145,"₩10,000.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오후 2:32:15","1_띵동마트 _R",000004192,"2024. 5. 31. 오후 2:02:21",สบู่เบนเนท,00001811,"₩6,600.00",2,"Bank Deposit - Tosspayments ",₩600.00,,₩0.00
"2024. 5. 31. 오후 2:32:15","1_띵동마트 _R",000004192,"2024. 5. 31. 오후 2:02:21","ยาสีฟัน แอมเวย์",1691027581,"₩14,000.00",2,"Bank Deposit - Tosspayments ","₩1,272.72",,₩0.00
"2024. 5. 31. 오후 2:32:15","1_띵동마트 _R",000004192,"2024. 5. 31. 오후 2:02:21",เมล็ดทานตะวันแดงใหญ่,00002808,"₩5,400.00",2,"Bank Deposit - Tosspayments ",₩490.90,,₩0.00
"2024. 5. 31. 오후 2:32:15","1_띵동마트 _R",000004192,"2024. 5. 31. 오후 2:02:21","ลูกกลิ้งนีเวีย คูคลิก",00002479,"₩14,400.00",2,"Bank Deposit - Tosspayments ","₩1,309.10",,₩0.00
"2024. 5. 31. 오후 2:32:04","탕탕돈까스 _R",000004188,"2024. 5. 31. 오전 11:46:23",พริกแช่แข็งแบบกิโล,00001744,"₩106,000.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",สะตอแช่แข็ง,00000380,"₩9,000.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",เต้าหู้ปลาเยาวราชเซี่ยงไฮ้,1693960424,"₩10,000.00",2,"Bank Deposit - Tosspayments ",₩909.10,,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",หอยดอง,1687846516,"₩5,100.00",1,"Bank Deposit - Tosspayments ",₩463.64,,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",ขนมสแน็คแจ๊ค(original),1630894726,"₩11,700.00",6,"Bank Deposit - Tosspayments ","₩1,063.62",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",ไส้กรอกไก่,00003275,"₩43,000.00",10,"Bank Deposit - Tosspayments ","₩3,909.10",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56","ผัดไท โคราช",00002695,"₩14,400.00",6,"Bank Deposit - Tosspayments ","₩1,309.08",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56","หน่อไม้ลวก ใหญ่",00000321,"₩27,000.00",6,"Bank Deposit - Tosspayments ","₩2,454.54",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56","น้ำมะนาวฟ้าไทย 700ml",1706769136,"₩10,800.00",6,"Bank Deposit - Tosspayments ",₩981.84,,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",คนอก้อนรสหมู,00000787,"₩16,800.00",1,"Bank Deposit - Tosspayments ","₩1,527.27",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",เส้นก๋วยจั๋บ,00002322,"₩9,600.00",2,"Bank Deposit - Tosspayments ",₩872.72,,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",ขนมโปเต้,1654661295,"₩12,000.00",4,"Bank Deposit - Tosspayments ","₩1,090.92",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",เมล็ดแตงโม,00002892,"₩15,000.00",6,"Bank Deposit - Tosspayments ","₩1,363.62",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",เมล็ดฟักทอง,00002894,"₩15,000.00",6,"Bank Deposit - Tosspayments ","₩1,363.62",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56","ลูกชิ้นปลาบุ๋ม เยาวราช",1665726847,"₩13,800.00",3,"Bank Deposit - Tosspayments ","₩1,254.54",,₩0.00
"2024. 5. 31. 오전 11:49:47","1_ 남차타이레스토 _R",000004186,"2024. 5. 31. 오전 11:06:56",น้ำมันหอยใหญ่,00000026,"₩12,000.00",3,"Bank Deposit - Tosspayments ","₩1,090.92",,₩0.00
"2024. 5. 31. 오전 11:49:40","Muntana _R",000004184,"2024. 5. 31. 오전 10:28:03",น้ำพริกเผาใหญ่,00002400,"₩7,300.00",1,"Bank Deposit - Tosspayments ",₩663.64,,₩0.00
"2024. 5. 31. 오전 11:49:40","Muntana _R",000004184,"2024. 5. 31. 오전 10:28:03",ลูกชิ้นหมู,00000156,"₩3,900.00",1,"Bank Deposit - Tosspayments ",₩354.55,,₩0.00
"2024. 5. 31. 오전 11:49:40","Muntana _R",000004184,"2024. 5. 31. 오전 10:28:03",ลูกชิ้นปลา,00000792,"₩4,700.00",1,"Bank Deposit - Tosspayments ",₩427.27,,₩0.00
"2024. 5. 31. 오전 11:49:40","Muntana _R",000004184,"2024. 5. 31. 오전 10:28:03",เส้นขนมจีนสีเขียว,00000348,"₩3,400.00",2,"Bank Deposit - Tosspayments ",₩309.10,,₩0.00
