"Delivery Start Date","고객 이름","Order No","Order Create Date",상품명,SKU,"Order Money",수량,결제방법,세금,"Refund Date","Refund Money"
"2024. 6. 27. 오후 4:17:52","NamNam _R",000005299,"2024. 6. 27. 오후 3:38:27",น้ำปลาร้าแม่บุญล้ำ(ฝาแดง),1606303899,"₩6,300.00",3,"Bank Deposit - Tosspayments ",₩572.73,,₩0.00
"2024. 6. 27. 오후 4:17:52","NamNam _R",000005299,"2024. 6. 27. 오후 3:38:27",ปลาร้าไมค์,00002393,"₩5,000.00",2,"Bank Deposit - Tosspayments ",₩454.54,,₩0.00
"2024. 6. 27. 오후 3:36:26","1_탄탄로직마트 _R",000005297,"2024. 6. 27. 오후 3:34:05","น้ำมะขามเข้มข้น Ocean Food",1669690394,"₩50,400.00",1,"Bank Deposit - Tosspayments ","₩4,581.82",,₩0.00
"2024. 6. 27. 오후 3:24:16","NamNam _R",000005294,"2024. 6. 27. 오후 3:16:28",ขาไก่รสเค็ม(ดั้งเดิม),1694568236,"₩4,700.00",1,"Bank Deposit - Tosspayments ",₩427.27,,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15",มะละกอไทย,10000752,"₩42,000.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15","후티코(SENLEK VIETNAM)",00000855,"₩58,000.00",1,"Bank Deposit - Tosspayments ","₩5,272.73",,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15","น้ำพริกเผา ตราฉั่วฮะเส็ง",1607506377,"₩24,600.00",3,"Bank Deposit - Tosspayments ","₩2,236.35",,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15",เส้นขนมจีนสีเขียว,00000348,"₩9,000.00",5,"Bank Deposit - Tosspayments ",₩818.20,,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15","น้ำมะขามเข้มข้น Ocean Food",1669690232,"₩24,000.00",10,"Bank Deposit - Tosspayments ","₩2,181.80",,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15",ผงชูรสใหญ่,00000505,"₩11,100.00",3,"Bank Deposit - Tosspayments ","₩1,009.08",,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15","พริกแห้ง 500 กรัม",1688076605,"₩19,000.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15",ตังฉ่าย,1674613796,"₩7,500.00",5,"Bank Deposit - Tosspayments ",₩681.80,,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15","กะทิชาวเกาะแพ็ค 500",00001643,"₩27,000.00",10,"Bank Deposit - Tosspayments ","₩2,454.50",,₩0.00
"2024. 6. 27. 오후 4:06:51","1_더챰타이 _R",000005292,"2024. 6. 27. 오후 2:53:15",นมคาเนชั่น,00000751,"₩20,000.00",10,"Bank Deposit - Tosspayments ","₩1,818.20",,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03",ปลาดุกใหญ่,00001727,"₩10,600.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03",ตับไก่,00000083,"₩10,000.00",4,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03","ลูกชิ้นปลากลมเล็ก (เยาวราช)",1663825630,"₩18,400.00",4,"Bank Deposit - Tosspayments ","₩1,672.72",,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03",ไส้กรอกไก่,00003275,"₩17,200.00",4,"Bank Deposit - Tosspayments ","₩1,563.64",,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03","ผงก๋วยเตี๋ยวน้ำข้น ฟ้าไทย",1665725860,"₩14,400.00",6,"Bank Deposit - Tosspayments ","₩1,309.08",,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03","ลูกชิ้นหมูแท้ ข",1665724799,"₩42,400.00",4,"Bank Deposit - Tosspayments ","₩3,854.56",,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03",พริกแกงส้ม,00000690,"₩28,800.00",2,"Bank Deposit - Tosspayments ","₩2,618.18",,₩0.00
"2024. 6. 27. 오후 2:53:20","룽태국마트 _R",000005290,"2024. 6. 27. 오후 2:46:03","ปลานิล 2 ตัว",00001351,"₩11,600.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",เส้นขนมจีนสีเขียว,00000348,"₩10,800.00",6,"Bank Deposit - Tosspayments ",₩981.84,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",ไก่จ้อ,1649319130,"₩19,500.00",3,"Bank Deposit - Tosspayments ","₩1,772.73",,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",พริกแช่แข็งแบบกิโล,00001743,"₩29,000.00",5,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",น้ำเย็นตาโฟ,1630894849,"₩22,000.00",5,"Bank Deposit - Tosspayments ","₩2,000.00",,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40","ลูกชิ้นหมูแท้ ข",1665724799,"₩21,200.00",2,"Bank Deposit - Tosspayments ","₩1,927.28",,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40","รสดีหมูใหญ่ 400 กรัม",00000144,"₩7,600.00",2,"Bank Deposit - Tosspayments ",₩690.90,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",เต้าหู้ปลาเยาวราชเซี่ยงไฮ้,1693960424,"₩10,000.00",2,"Bank Deposit - Tosspayments ",₩909.10,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",ไส้กรอกไก่,00003275,"₩43,000.00",10,"Bank Deposit - Tosspayments ","₩3,909.10",,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",สะตอแช่แข็ง,00000380,"₩5,000.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",คนอก้อนรสหมู,00000787,"₩16,800.00",1,"Bank Deposit - Tosspayments ","₩1,527.27",,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",ลูกชิด,00000078,"₩8,400.00",2,"Bank Deposit - Tosspayments ",₩763.64,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",ปลาร้าไมค์,00002393,"₩5,000.00",2,"Bank Deposit - Tosspayments ",₩454.54,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",ปลาร้านางฟ้า,00002519,"₩7,600.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",น้ำปลาร้าแม่บุญล้ำ(ฝาแดง),1606303899,"₩4,200.00",2,"Bank Deposit - Tosspayments ",₩381.82,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40","พริกแกงเผ็ด 500 กรัม",1632790878,"₩4,000.00",1,"Bank Deposit - Tosspayments ",₩363.64,,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",ซอสพริก,00000418,"₩17,700.00",6,"Bank Deposit - Tosspayments ","₩1,609.08",,₩0.00
"2024. 6. 27. 오후 1:47:13","1_남차타이레스토 _R",000005269,"2024. 6. 27. 오전 9:54:40",ซอสผัดกระเพรา,00004359,"₩3,600.00",1,"Bank Deposit - Tosspayments ",₩327.27,,₩0.00
